date,Empirical # of diagnosed cases,Model (FoI=1) diagnosed cases,Model (FoI=1) incidence,Model (FoI=1) symp,Model (FoI=1) R_e,Model (FoI=1.25) diagnosed cases,Model (FoI=1.25) incidence,Model (FoI=1.25) symp,Model (FoI=1.25) R_e,Model (FoI=1.5) diagnosed cases,Model (FoI=1.5) incidence,Model (FoI=1.5) symp,Model (FoI=1.5) R_e,Model (FoI=2) diagnosed cases,Model (FoI=2) incidence
10/8/23 - 10/14/23,4,0,0,2,0,2,2,8,0.75,0,1,5,1,79,96
10/15/23 - 10/21/23,5,0,1,4,1.5,1,3,9,1.125,1,2,7,1.2,83,111
10/22/23 - 10/28/23,1,1,0,3,0,3,2,8,0.666666667,2,4,7,1.714285714,104,134
10/29/23 - 11/4/23,2,1,0,3,0,1,2,7,0.75,3,2,8,0.857142857,118,157
11/5/23 - 11/11/23,1,0,0,2,0,3,3,8,1.285714286,3,4,9,1.5,144,181
11/12/23 - 11/18/23,4,0,0,2,0,2,1,6,0.375,3,4,9,1.333333333,162,191
11/19/23 - 11/25/23,2,0,0,2,0,1,2,6,1,3,4,9,1.333333333,165,227
11/26/23 - 12/2/23,0,0,0,2,0,2,2,5,1,3,2,5,0.666666667,210,289
12/3/23 - 12/9/23,5,0,0,1,0,1,1,4,0.6,2,4,7,2.4,245,302
12/10/23 - 12/16/23,0,0,1,3,3,1,2,6,1.5,4,2,8,0.857142857,270,344
12/17/23 - 12/23/23,5,0,1,3,1,2,1,6,0.5,4,3,5,1.125,309,385
12/24/23 - 12/30/23,2,1,1,3,1,2,1,4,0.5,2,2,6,1.2,336,418
12/31/23 - 1/6/24,6,1,1,3,1,0,1,3,0.75,2,4,7,2,391,472
1/7/24 - 1/13/24,3,1,0,3,0,1,1,4,1,3,5,9,2.142857143,420,561
1/14/24 - 1/20/24,6,1,0,3,0,1,1,4,0.75,5,4,9,1.333333333,489,605
1/21/24 - 1/27/24,0,0,1,3,1,0,0,4,0,4,3,9,1,536,698
1/28/24 - 2/3/24,5,1,0,3,0,0,0,2,0,3,3,9,1,631,800
