week,Empirical,To.Aware_S0,To.Aware_S1,To.Aware_S2,To.Aware_S3,To.Aware_S4,To.Aware_S5,To.Aware_S6,To.Aware_S7,To.Aware_S8,To.Aware_S9,To.Aware_S10,To.Aware_S11,To.Aware_S12,To.Aware_S13,To.Aware_S14,To.Aware_S15,To.Aware_S16,To.Aware_S17,To.Aware_S18,To.Aware_S19
40,5,0,0,1,2,2,3,11,51,1,3,5,1,1,0,1,8,1,4,2,6
41,2,0,0,0,1,2,3,11,53,1,4,3,1,1,0,0,8,1,2,3,6
42,6,0,0,0,1,2,2,12,52,1,3,5,0,1,0,1,8,2,3,2,3
43,3,0,0,0,1,1,2,9,60,1,3,4,1,1,0,0,8,2,2,2,3
44,6,0,0,0,1,1,3,10,56,1,3,5,1,1,0,0,7,2,1,2,4
45,0,0,0,0,1,2,2,9,62,1,2,4,1,0,0,0,7,2,1,2,3
46,5,0,0,0,2,1,3,11,62,1,3,5,2,1,0,0,8,2,0,2,4
47,1,0,0,0,1,2,3,8,67,1,3,4,1,1,0,0,7,2,0,2,5
48,2,0,0,0,1,2,3,9,70,2,3,4,1,1,0,0,8,2,0,1,3
49,1,0,0,0,1,1,2,9,71,1,3,4,1,1,0,0,6,2,0,2,2
50,2,0,0,0,1,2,2,6,73,2,2,5,1,0,0,0,5,2,0,1,3
51,0,0,0,0,1,1,2,10,79,1,3,4,1,1,0,0,6,2,1,1,3
52,0,0,0,0,1,2,2,8,72,2,4,4,1,1,0,0,4,2,0,1,3
53,0,0,0,1,1,2,2,8,82,2,4,5,1,1,0,0,6,2,0,1,4
54,2,0,0,1,1,2,2,8,73,2,4,4,1,1,0,0,3,3,0,1,3
55,1,0,0,1,2,2,3,8,83,2,3,4,1,1,0,0,5,3,1,2,3
56,1,0,0,1,2,1,2,9,84,1,2,5,1,1,0,1,5,3,2,2,4
57,4,0,0,0,1,1,3,9,88,1,3,4,1,1,0,0,4,4,1,2,4
58,1,0,0,1,1,2,4,10,88,1,3,4,1,1,0,1,6,4,2,2,4
59,0,0,0,1,1,2,3,10,86,1,4,3,1,1,0,1,4,4,2,3,4
60,0,0,0,0,2,2,3,9,89,2,4,3,1,1,0,1,5,5,3,2,2
61,3,0,0,1,1,2,3,9,88,1,2,5,1,1,0,1,5,5,2,2,1
62,5,0,0,1,2,4,3,10,95,1,3,4,1,1,0,1,5,6,3,2,2
63,4,0,0,1,1,3,4,10,88,2,2,4,1,0,1,0,5,5,3,2,1
64,5,0,0,1,2,3,3,10,99,2,3,4,1,1,0,0,5,6,2,2,2
65,6,0,0,0,2,2,3,10,97,2,3,4,1,0,0,1,5,5,3,2,2
66,4,0,0,1,2,2,4,11,96,2,3,5,2,1,0,1,6,6,2,2,3
67,4,0,0,0,1,2,5,10,101,1,3,5,2,1,1,0,5,5,2,3,2
68,3,0,0,0,2,3,3,10,98,2,3,5,2,1,0,1,4,4,2,3,3
69,3,0,0,2,1,2,4,9,95,1,2,7,2,1,1,1,5,7,1,3,2
70,7,0,0,1,1,2,4,9,98,1,2,4,1,1,1,0,5,5,1,3,3
71,6,0,0,0,1,2,3,8,97,2,4,4,2,1,0,1,4,6,1,5,3
72,7,0,0,0,2,2,3,9,98,1,4,5,1,1,0,0,4,4,1,4,3
73,5,0,0,0,2,1,4,8,93,2,3,5,1,1,0,0,4,5,1,4,2
74,6,0,0,0,1,2,3,9,90,1,3,3,0,1,0,1,3,4,1,4,3
75,10,0,0,0,1,1,4,8,88,1,4,4,1,0,0,0,3,5,0,4,3
76,9,0,0,0,0,1,4,7,86,2,3,4,0,0,0,0,2,5,0,4,2
77,2,0,0,0,0,1,4,9,86,1,4,4,0,0,0,0,4,5,0,3,2
78,NA,0,0,0,0,0,3,6,85,1,2,4,0,0,0,0,2,5,0,3,2
79,NA,0,0,0,0,0,4,6,88,1,4,3,0,0,0,0,2,5,0,4,2
80,NA,0,0,0,0,0,2,4,87,2,3,4,0,0,0,0,2,4,0,3,3
81,NA,0,0,0,0,0,3,4,82,2,3,4,0,0,0,0,2,5,0,3,2
82,NA,0,0,0,0,0,3,5,89,1,3,4,0,0,0,0,2,6,0,4,1
83,NA,0,0,0,0,0,2,5,83,1,3,5,0,0,0,0,1,5,0,3,2
84,NA,0,0,0,0,0,2,5,84,1,3,4,0,0,0,0,1,5,0,2,1
85,NA,0,0,0,0,0,3,4,79,1,2,5,0,0,0,0,1,5,0,2,1
