	strain	date	accession	authors	institution	focus_areas
87	Monkeypox virus/Human/USA/CA-LACPHL-MA00221/2022	2022-07-15	OP680499	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
88	MPXV/Human/USA/CA-CDPH-MPX000023/2022	2022-07-14	OP587252	Probert et al.	CDPH, VRDL	Other California
89	MPXV_USA_2022_NY0030	2022-08-XX	OP687940	Gigante et al.	CDC, DHCPP-PRB	New York City
90	MPXV/Germany/2024/ON/RKI1201	2024-12-XX	PV008690	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
91	MPXV_USA_2022_TX0028	2022-07-XX	OP752121	Gigante et al.	CDC, DHCPP-PRB	North America
92	MPXV/Germany/2022/ON/RKI855	2022-07-XX	OQ773474	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
93	45_B	2022-07-10	OR264420	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
94	MPXV/Germany/2022/ON/RKI843	2022-07-XX	OQ773462	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
95	MN-MDH-MPXV_0045	2022-08-24	OR353555	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
96	hMpxV/USA/CA-CDPH-1M1000635/2024	2024-06-21	PQ159986	Kath et al.	CDPH, VRDL	Other California
97	Monkeypox/PT0333/2022	2022-05-27	OP414364	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
98	NY-NYCPHL-000204	2022-07-XX	OQ469048	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
99	MPXV/Germany/2022/RKI298	2022-08-XX	OP339855	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
100	NY-NYCPHL-000977	2022-07-XX	OQ468704	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
101	Monkeypox/PT0209/2022	2022-06-24	OP324519	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
