	strain	date	accession	authors	institution	focus_areas
2220	MPXV_UK_2022_9000166	2022-06-29	OP331336	Groves et al.	UKHSA, Research and Evaluation	Global
2221	hMpxV/USA/CA-CDPH-11000320/2023	2023-07-31	PQ336103	Kath et al.	CDPH, VRDL	Other California
2222	Monkeypox/PT0530/2022	2022-08-20	OP555601	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2223	VSP215	2023-05-31	PP852972	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2224	hMpxV/USA/CA-CDPH-1M1000582/2022	2022-06-29	PQ201829	Kath et al.	CDPH, VRDL	Other California
2225	NY-NYCPHL-001252	2023-12-XX	PP533335	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2226	NY-NYCPHL-000746	2022-10-XX	OQ468782	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2227	MPXV/Germany/2024/ON/RKI1137	2024-10-XX	PQ499039	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2228	MPXV/Germany/2024/ON/RKI1185	2024-11-XX	PV008674	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2229	B1118356	2022-08-18	OP531890	Bajwa et al.	Delaware Public Health Lab, Sequencing/Bioinformatics	North America
2230	NJ-MPXV-014-rep2	2022-09-03	OP879734	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
2231	NY-NYCPHL-000353	2022-08-XX	OQ468960	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2232	MPXV_USA_2022_MO0001	2022-08-XX	OP881950	Gigante et al.	CDC, DHCPP-PRB	North America
2233	NY-NYCPHL-000279	2022-08-XX	OQ468852	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2234	MPXV/Germany/2022/ON/RKI941	2022-06-XX	OR449655	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2235	VAC_INS_MPX_0958_L	2022-10-13	OP819952	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
2236	32_B	2022-08-24	OR264394	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
2237	hMPX/Human/USA/CA-LACPHL-MA00076/2022	2022-08-17	OP442561	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2238	NY-NYCPHL-000065	2022-06-XX	OQ468924	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2239	MPXV/UZ_REGA_230/Belgium/2022	2022-08-12	OR095048	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2240	LC852834	2023-05-15	LC852834	?	Shinjuku, Tokyo 162-8640	Global
2241	NY-NYCPHL-000286	2022-08-XX	OQ468856	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2242	Slovenia-MPXV-48-2022	2022-09-XX	OP605589	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
2243	MPX/PT0074/2022	2022-07-27	OP245328	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2244	NY-NYCPHL-000659	2022-07-XX	OQ419054	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2245	ANT-LDSP-ANT-MPX-28766E	2022-10-21	OQ261709	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
2246	Monkeypox/PT0343/2022	2022-05-26	OP414372	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2247	CA-LACPHL-MA00708	2024-10-03	PQ553617	Fox et al.	Los Angeles County Department of Public Health, Los Angeles County Public Health Laboratories	Los Angeles County
2248	NY-NYCPHL-000612	2022-08-XX	OQ419047	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2249	NY-NYCPHL-001143	2022-07-XX	OQ468600	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2250	MPXV_USA_2022_NY0007	2022-06-XX	OP185710	Gigante et al.	CDC, DHCPP-PRB	New York City
2251	Monkeypox/PT0225/2022	2022-06-22	OP324535	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2252	MPXV/Germany/2023/ON/RKI1068	2023-11-XX	PP093721	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2253	hMpxV/USA/IL-RIPHL-050-0132/2024	2024-01-31	PP556315	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2254	MpxV/human/USA/WA-UW-085171/2022	2022-08-XX	OP392546	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2255	Monkeypox/PT0298/2022	2022-06-08	OP414332	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2256	MN-MDH-MPXV_0007	2022-07-05	OP597781	Plumb et al.	Minnesota Department of Health	North America
2257	MpxV/human/USA/OH-UW-074058/2022	2022-07-XX	OP169338	Sereewit et al.	UW Virology, Laboratory Medicine	North America
2258	MpxV/human/CAN/UN-NML-3672/2022	2022-06-11	OP013014	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
2259	ANT-LDSP-ANT-MPX-22752-O	2022-08-18	OP431402	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
2260	Slovenia-MPXV-32-2022	2022-07-XX	OP605574	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
2261	MpxV/human/USA/WA-UW-043227/2023	2023-04-XX	OR427335	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2262	hMpxV/USA/IL-RIPHL-050-0206/2024	2024-09-16	PQ463264	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2263	hMpxV/USA/CA-CDPH-1M1000571/2022	2022-06-25	PQ201818	Kath et al.	CDPH, VRDL	Other California
2264	MPX/PT0110/2022	2022-07-15	OP245344	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2265	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022	2022-12-23	OQ330973	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2266	NY-NYCPHL-000897	2022-06-XX	OQ419075	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2267	hMpxV/USA/CA-CDPH-1M1000423/2023	2023-10-17	PQ218883	Kath et al.	CDPH, VRDL	Other California
2268	MN-MDH-MPXV_0063	2022-08-29	OR353573	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
2269	MPXV/Germany/2022/ON/RKI659	2022-08-XX	OQ159054	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2270	MPXV-USA-IL-IDPH-076	2022-07-01	OP536737	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
2271	MPXV/Germany/2022/RKI345	2022-09-XX	OP484666	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2272	9000412	2022-08-XX	OP536787	Groves et al.	UKHSA, Research and Evaluation	Global
2273	hMPX/Human/USA/CA-LACPHL-MA00091/2022	2022-07-29	OP442559	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2274	MpxV/human/USA/WA-UW-087956/2022	2022-08-XX	OP628482	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2275	MPXV/Germany/2024/ON/RKI1173	2024-11-XX	PV008662	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2276	MPXV/Germany/2023/ON/RKI1043	2023-10-XX	OR777681	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2277	MPXV/Germany/2022/ON/RKI684	2022-08-XX	OQ319142	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2278	MpxV/human/USA/WA-UW-117959/2023	2023-11-XX	OR950775	Sereewit et al.	University of Washington Dept. Laboratory Medicine and Pathology, Virology Division	North America
2279	hMpxV/USA/CA-CDPH-1M1000454/2023	2023-12-18	PQ218911	Kath et al.	CDPH, VRDL	Other California
2280	Monkeypox/PT0239/2022	2022-06-21	OP414283	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2281	SDM6	2023-XX-XX	PP977064	Thomas et al.	Yale School of Public Health, Epidemiology of Microbial Diseases	North America
2282	MPXV/UZ_REGA_237/Belgium/2022	2022-08-12	OR095055	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2283	MPXV_USA_2022_CO0006	2022-06-XX	OP225963	Gigante et al.	CDC, DHCPP-PRB	North America
2284	MPXV/Germany/2022/ON/RKI1009	2022-07-XX	OR449724	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2285	MPX/Human/USA/CA-LACPHL-MA00246/2022	2022-07-15	OP722505	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2286	CHVir44557_Okt2023	2023-XX-XX	PP002091	Obermeier et al.	Charite - Universitatsmedizin Berlin, Institute of Virology	Global
2287	ANT-LDSP-ANT-MPX-24915-L	2022-09-09	OP642388	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
2288	hMpxV/USA/CA-CDPH-1MPX1000096/2022	2022-07-10	OQ348845	Probert et al.	CDPH, VRDL	Other California
2289	VAC_INS_MPX_0957_HO	2022-10-15	OP819951	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
2290	MpxV/human/CAN/UN-NML-3448/2022	2022-06-03	ON880548	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
2291	hMPX/Human/USA/CA-LACPHL-MA00005/2022	2022-07-18	OP440569	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2292	NY-NYCPHL-000863	2022-07-XX	OQ565485	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2293	MPX_2v76E1_9000221	2022-07-XX	OP415197	Groves et al.	UKHSA, Research and Evaluation	Global
2294	MPXV_UK_2022_9000065	2022-06-06	OP205071	Groves et al.	UKHSA, Research and Evaluation	Global
2295	MPV/D12	2023-05-XX	PP265943	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
2296	MPX/Human/USA/CA-LACPHL-MA00120/2022	2022-08-29	OP539905	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2297	MpxV/human/USA/WA-UW-093226/2022	2022-09-XX	OP743981	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2298	MPXV/Germany/2022/ON/RKI927	2022-06-XX	OR449641	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2299	MPXV_USA_2022_MA0136	2022-XX-XX	OP890487	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2300	MPXV/A1	2022-XX-XX	PP098580	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
2301	MPXV_USA_2022_MA0043	2022-XX-XX	OP890401	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2302	MN-MDH-MPXV_0042	2022-08-01	OR353552	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
2303	MPXV/Germany/2022/RKI349	2022-09-XX	OP484670	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2304	Z22IRL00456	2022-08-15	OR146331	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2305	TRM343	2022-10-26	PP853037	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2306	MPXV/Germany/2022/RKI256	2022-08-XX	OP215275	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2307	MPXV/Germany/2022/RKI039	2022-06-XX	ON755245	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2308	NY-NYCPHL-001136	2022-07-XX	OQ468595	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2309	NY-NYCPHL-000508	2022-07-XX	OQ468893	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2310	MPXV/Human/USA/UT-UPHL-82200706/2022	2022-09-26	OR004148	Iverson et al.	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	North America
2311	MPXV/Germany/2024/ON/RKI1086	2024-01-XX	PP776548	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2312	MPXV/Germany/2024/ON/RKI1179	2024-11-XX	PV008668	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2313	MPXV/UZ_REGA_91	2022-07-15	OR035697	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2314	VSP209	2023-03-20	PP852967	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2315	MPXV/Human/USA/CA-LACPHL-MA00424/2022	2022-12-05	OQ503817	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2316	NJ-MPXV-027	2022-06-29	OP879743	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
2317	Monkeypox virus/Human/USA/CA-LACPHL-MA00655/2024	2024-07-22	PQ213328	Heibeck et al.	Los Angeles County Department of Public Health, Los Angeles County Department of Public Health Laboratory	Los Angeles County
2318	MPXV/UZ_REGA_63	2022-06-09	OR035669	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2319	MPXV/PT0768/2023	2023-10-12	PP025011	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2320	MPXV/Germany/2022/ON/RKI414	2022-09-XX	OP588277	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2321	MPXV/Germany/2022/ON/RKI306	2022-08-XX	OP355566	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2322	MPXV/A9	2022-XX-XX	PP098585	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
2323	MpxV/human/USA/WA-UW-094434/2022	2022-09-XX	OP747054	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2324	MPXV/Germany/2022/ON/RKI462	2022-09-XX	OP615339	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2325	NY-NYCPHL-000899	2022-07-XX	OQ565499	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2326	VSP212	2023-04-17	PP852969	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2327	MPXV_USA_2022_GA0009	2022-06-XX	OP451007	Gigante et al.	CDC, DHCPP-PRB	North America
2328	Z22IRL00687	2022-09-26	OR146279	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2329	NY-NYCPHL-000998	2022-07-XX	OQ565547	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2330	NY-NYCPHL-000288	2022-08-XX	OQ469072	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2331	Monkeypox/PT0261/2022	2022-06-19	OP414301	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2332	hMpxV/USA/CA-CDPH-1M1000701/2024	2024-10-21	PQ781668	Kath et al.	CDPH, VRDL	Other California
2333	hMpxV/Canada/ON-PHOL055/2022	2022-08-01	OR759149	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2334	MpxV/human/USA/WA-UW-076082/2022	2022-07-XX	OP055809	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2335	MPXV/Germany/2022/RKI426	2022-09-XX	OP594190	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2336	hMpxV/Canada/ON-PHOL085/2022	2022-09-01	OR759173	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2337	hMpxV/USA/CA-CDPH-1MPX1000118/2022	2022-09-16	OQ348866	Probert et al.	CDPH, VRDL	Other California
2338	PP778666	2023-XX-XX	PP778666	Chen et al.	Chinese Academy of Agricultural Sciences, Changchun Veterinary Research Institute	Global
2339	MPXV_USA_2022_NY0053	2022-08-XX	OR464201	Gigante et al.	CDC, DHCPP-PRB	New York City
2340	NY-NYCPHL-000785	2022-07-XX	OQ468661	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2341	MPXV_1081_SP_2022	2022-XX-XX	OX344886	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
2342	MPXV-CH-38156923/2022	2022-05-24	ON622720	Laubscher et al.	Laboratory of Viorology, University Hospital of Geneva, Switzerland	Global
2343	MPXV_UK_2022_2	2022-05-XX	ON619836	Groves et al.	Research & Evaluation, UKHSA, UK	Global
2344	MPXV_USA_2022_MA0159	2022-XX-XX	OP890508	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2345	MPXV/Germany/2022/ON/RKI446	2022-09-XX	OP615326	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2346	Monkeypox/PT0034/2022	2022-05-26	ON843169	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2347	MPXV_UK_2022_9000064	2022-06-06	OP205070	Groves et al.	UKHSA, Research and Evaluation	Global
2348	NJ-MPXV-021	2022-07-XX	OP879739	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
2349	MPXV/PT0771/2023	2023-10-12	PP025014	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2350	MPX_i0Eo3X_9000331	2022-08-XX	OP415269	Groves et al.	UKHSA, Research and Evaluation	Global
2351	02112022_anal	2022-11-02	OQ672570	Mertes et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
2352	MPXV/Germany/2022/ON/RKI308	2022-09-XX	OP494260	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2353	MPXV/Germany/2024/ON/RKI1114	2024-08-XX	PQ352008	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2354	MPXV/Germany/2022/ON/RKI304	2022-08-XX	OP355565	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2355	Z22IRL00490	2022-08-18	OR146364	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2356	MPXV/Germany/2022/RKI393	2022-09-XX	OP523995	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2357	NY-NYCPHL-000489	2022-07-XX	OQ468891	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2358	9000448	2022-09-XX	OP536811	Groves et al.	UKHSA, Research and Evaluation	Global
2359	NY-NYCPHL-000290	2022-08-XX	OQ468473	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2360	31_A	2022-08-10	OR264392	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
2361	MPXV-ROK-P53/08-2023	2023-07-05	OR855751	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
2362	MPXV-USA-IL-IDPH-070	2022-06-30	OP536731	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
2363	MPXV/Human/USA/CA-LACPHL-MA00606/2023	2023-10-11	PP507094	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
2364	MPXV_USA_2022_DC0019	2022-09-XX	OQ320448	Gigante et al.	CDC, DHCPP-PRB	North America
2365	hMpxV/USA/CA-CDPH-1MPX1000094/2022	2022-06-29	OQ348843	Probert et al.	CDPH, VRDL	Other California
2366	MPXV_USA_2022_FL0020	2022-07-XX	OP604531	Gigante et al.	CDC, DHCPP-PRB	North America
2367	Monkeypox/PT0435/2022	2022-08-02	OP555520	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2368	MPXV_USA_2022_TX0036	2022-10-XX	OQ320469	Gigante et al.	CDC, DHCPP-PRB	North America
2369	MPXV/UZ_REGA_70	2022-06-30	OR035676	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2370	MPXV/UZ_REGA_65	2022-06-29	OR035671	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2371	MPXV_USA_2022_MA0170	2022-XX-XX	OP890517	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2372	MPXV-USA-IL-IDPH-060	2022-07-06	OP536721	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
2373	MPXV/Human/USA/CA-LACPHL-MA00426/2022	2022-12-14	OQ503819	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2374	MPXV_UK_2022_9000150	2022-06-16	OP205113	Groves et al.	UKHSA, Research and Evaluation	Global
2375	NY-NYCPHL-000357	2022-08-XX	OQ468964	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2376	hMpxV/Canada/ON-PHOL073/2022	2022-08-01	OR759161	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2377	MPXV/UZ_REGA_71	2022-06-30	OR035677	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2378	MPXV/Germany/2022/RKI205	2022-08-XX	OP215242	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2379	MPX/Human/USA/CA-LACPHL-MA00204/2022	2022-07-25	OP615277	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2380	MPXV/Germany/2022/RKI160	2022-07-XX	ON959151	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2381	NY-NYCPHL-000234	2022-07-XX	OQ468875	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2382	NY-NYCPHL-000222	2022-07-XX	OQ469054	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2383	NY-NYCPHL-000022	2022-06-XX	OQ504381	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2384	MpxV/human/USA/WA-UW-038917/2023	2023-03-XX	OR427343	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2385	NY-NYCPHL-001214	2023-07-XX	PP533292	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2386	hMpxV/USA/CA-CDPH-1000068/2022	2022-07-14	OQ121022	Probert et al.	CDPH, VRDL	Other California
2387	MPXV_USA_2022_TX0037	2022-10-XX	OQ320438	Gigante et al.	CDC, DHCPP-PRB	North America
2388	MPXV_USA_2022_MA0021	2022-XX-XX	OP890379	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2389	MPXV_USA_2022_NV0005	2022-10-XX	OQ427112	Gigante et al.	CDC, DHCPP-PRB	North America
2390	Monkeypox/PT0268/2022	2022-06-17	OP414308	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2391	MPXV/Human/USA/CA-LACPHL-MA00643/2024	2024-06-21	PQ015102	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
2392	48_B	2022-08-31	OR264425	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
2393	MPXV/Human/USA/CA-LACPHL-MA00628/2024	2024-05-15	PP918961	Heibeck et al.	Los Angeles Department of Public Health, Los Angeles Department of Public Health Laboratory	Los Angeles County
2394	NY-NYCPHL-000428	2022-09-XX	OQ469211	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2395	MPXV/Germany/2022/ON/RKI445	2022-09-XX	OP615321	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2396	B1118402	2022-09-07	OP751216	Bajwa et al.	Delaware Public Health Lab, Sequencing/Bioinformatics	North America
2397	hMpxV/USA/CA-CDPH-1MPX1000140/2022	2022-06-21	OQ348887	Probert et al.	CDPH, VRDL	Other California
2398	MpxV/human/USA/WA-UW-097301/2023	2023-09-XX	OR665165	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2399	hMpxV/USA/IL-RIPHL-050-0163/2024	2024-03-04	PP588405	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2400	Monkeypox/PT0367/2022	2022-06-27	OP555464	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2401	hMPXV/Austria/MUW1532243/2022	2022-07-06	OP133006	Camp et al.	Medical University of Vienna, Center for Virology	Global
2402	MPXV_435_SP_2022	2022-XX-XX	OX344873	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
2403	Monkeypox/PT0041/2022	2022-06-02	ON843176	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2404	hMPXV/Australia/VIC-40803/2024	2024-04-24	PQ153131	Edenborough et al.	Melbourne Health, VIDRL	Global
2405	MPX/Human/USA/CA-LACPHL-MA00111/2022	2022-09-01	OP539896	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2406	NY-NYCPHL-000275	2022-07-XX	OQ468849	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2407	MPXV-ROK-P009-2023	2023-04-12	OR459782	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
2408	hMPXV/Australia/VIC-8012/2024	2024-05-08	PQ153135	Edenborough et al.	Melbourne Health, VIDRL	Global
2409	MpxV/human/USA/WA-UW-087006/2022	2022-08-XX	OP257260	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
2410	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022	2022-12-30	OQ331008	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2411	hMpxV/Canada/ON-PHOL088/2022	2022-09-01	OR759176	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
