,migration_event_number,calendar_date_of_import,latest_case_of_chain_calendar_date,size_of_chain,length_of_chain_days
215,105,2023-12-26,2024-01-29,1.0,34
216,127,2023-12-30,2024-01-31,1.0,31
217,102,2024-02-10,2024-03-06,1.0,25
218,92,2024-03-17,2024-09-20,4.0,186
219,98,2024-04-09,2024-06-17,2.0,69
220,89,2024-04-13,2024-10-03,4.0,172
221,85,2024-04-15,2024-04-26,1.0,11
222,76,2024-04-18,2024-05-01,1.0,13
223,58,2024-04-20,2024-06-27,4.0,67
224,99,2024-04-20,2024-09-13,5.0,145
225,77,2024-04-23,2024-07-25,2.0,93
226,88,2024-04-24,2024-06-11,2.0,47
227,95,2024-04-24,2024-05-15,1.0,20
228,86,2024-04-26,2024-09-03,2.0,129
229,80,2024-04-27,2024-08-26,2.0,121
230,103,2024-05-04,2024-05-30,1.0,25
231,114,2024-05-08,2024-09-16,2.0,130
232,104,2024-05-12,2024-12-12,16.0,213
233,94,2024-05-12,2024-06-17,1.0,36
234,93,2024-05-13,2024-09-30,10.0,139
235,97,2024-05-14,2024-06-20,1.0,36
236,96,2024-05-17,2024-06-23,1.0,36
237,129,2024-05-30,2024-07-24,1.0,54
238,100,2024-05-30,2024-10-07,5.0,129
239,111,2024-06-02,2024-08-06,2.0,64
240,115,2024-06-10,2024-09-25,2.0,106
241,59,2024-07-20,2024-08-26,1.0,36
242,117,2024-07-29,2024-08-29,1.0,30
243,60,2024-08-19,2024-10-06,2.0,47
244,91,2024-08-23,2024-11-15,2.0,83
245,116,2024-08-27,2024-09-25,1.0,28
246,118,2024-09-19,2024-10-15,1.0,26
247,120,2024-10-04,2024-11-12,1.0,38
